BANNER,LOINC #,Long Common Name,CLASS,Class Override,Rank,Example UCUM,Example UCUM Display,Comments,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,System Adjusted,GROUP,
,6012-9,von Willebrand factor (vWf) Ag [Units/volume] in Platelet poor plasma by Immunologic method,COAG,Coagulation,1520,[IU]/mL,IU/mL,"Measures the amount of vWF protein, reported as a concentration.",von Willebrand factor Ag,ACnc,Pt,PPP,Qn,Imm,PPP,VWF,
,27816-8,von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunologic method,COAG,Coagulation,1126,%,%,"Measures the amount of vWF protein, reported as a % of normal.",von Willebrand factor Ag actual/Normal,RelMCnc,Pt,PPP,Qn,Imm,PPP,VWF,
,32217-2,von Willebrand factor (vWf) multimers [Presence] in Platelet poor plasma,COAG,Coagulation,1900,,,,von Willebrand factor multimers,ACnc,Pt,PPP,Ord,,PPP,Von Will,
,6014-5,von Willebrand factor (vWf) ristocetin cofactor actual/normal in Platelet poor plasma by Aggregation,COAG,Coagulation,1003,%,%,"Measures the activity of vWF protein, reported as a % of normal in the presence of Ristocetin.",von Willebrand factor.ristocetin cofactor activity actual/Normal,RelTime,Pt,PPP,Qn,Aggr,PPP,Von Will,
,24378-2,Platelet aggregation epinephrine induced [Presence] in Platelet rich plasma,COAG,Coagulation,1667,,,,Platelet aggregation.epinephrine induced,ACnc,Pt,PRP,Ord,,PRP,Plat Agreg,
,34701-3,Platelet Ab.heparin induced [Presence] in Serum,SERO,Coagulation,693,,,More specific LOINC codes (e.g. LWW heparin) are also available. CAUTION - Laboratories often include PF4 in the name of this test. Be sure to distinguish from the measures of PF4 itself.,Platelet Ab.heparin induced,ACnc,Pt,Ser,Ord,,Ser,PF4 & HIT,
Coagulation - Heparin Ab & PF4,,,,,,,,,,,,,,,,,
"Three kinds of tests are used to help diagnose Heparin-induced thrombocytopenia (HIT), which is also called Heparin-associated thrombocytopenia (HAT).

     1) A measure of anti-platelet antibody induced by the heparin platelet factor 4 (PF4) complex.
This is called variously �Heparin induced platelet antibody� (LOINC�s approach) and Heparin-PF4 antibody. This test is based on immunologic measures usually reported in optical densities, or as present/absent, and is sensitive, but not specific, to the HIT syndrome.

     2) A measure of platelet aggregation in the presence of heparin.
This is also called a functional test for heparin induced platelet antibodies.

     3) Another functional measure based on the release of serotonin in the presence of Heparin.
See [LOINC: 50728-5] for example. The serotonin tests may be specific to challenge doses and type (unfractionated or low molecular weight heparin). LOINC has most of these variations, but most of them did not make it to the Top 2000+.

The concentration of PF4 in platelets is 280,000 times the baseline concentration, so the plasma levels spike greatly with platelet activation. The concentration of PF4 protein is used to measure platelet activation. It is NOT used to diagnose the HIT syndrome. We bring PF4 into this discussion because some laboratories use PF4 as a shorthand name for the PF4�heparin complex induced antibodies.  When you see PF4 in the local name, be doubly sure that it is referring to the PF4 protein [LOINC: 600-2] and not the PF4-Heparin complex antibody [LOINC: 34701-3] whose full name is usually Heparin Induced Antibody. To further complicate the matter, antibodies can develop against platelets due to other factors completely unrelated to Heparin. See for example [LOINC: 13063-3] or [LOINC: 6927-8]. So, map carefully in this space.",,,,,,,,,,,,,,,,,
,33594-3,Platelet factor 4 [Presence] in Platelet poor plasma,COAG,Coagulation - Heparin Ab & PF4,1121,,,PF4 is used clinically to assess degree of platelet activation but specimen has to be collected meticulously. Some labs use PD4 as short hand for Heparin induced platelet Ab so be careful about mapping.,Platelet factor 4,ACnc,Pt,PPP,Ord,,PPP,PF4 & HIT,
,6002-0,Platelet factor 4 [Units/volume] in Platelet poor plasma,COAG,Coagulation - Heparin Ab & PF4,1002,{OD_units},OD_units,PF4 is used clinically to assess degree of platelet activation but specimen has to be collected meticulously. Some labs use PD4 as short hand for Heparin induced platelet Ab so be careful about mapping.,Platelet factor 4,ACnc,Pt,PPP,Qn,,PPP,PF4 & HIT,
Coagulation-Lupus Anti Coagulant,,,,,,,,,,,,,,,,,
"Lupus anticoagulants are tests for the existence of anti-phospholipid antibodies that prolong aPTT and other measures of clotting function. The phenomena can be associated with both bleeding and excess clotting as well as miscarriages. The cardiolipin and the phosphatidyl antibodies also help to detect the lupus anticoagulant phenomenon. Antibodies to IgA, IgG, and/or IgM may be tested.

At the core of lupus anticoagulation (LAC) testing are three different variations on one or more coagulation tests, usually aPTT and/or dRVVT. The first variation is the baseline measure with low phospholipid reagents, the second adds pooled plasma to the specimen to rule out factor deficiencies, and the third adds excess phospholipid. If the excess phospholipid corrects the abnormality, that indicates the likely presence of LAC. As one example, [LOINC: 3282-1] represents Excess phospholipid (hexagonal phospholipid) and is used in Staclot brand. If the excess phospholipid corrects clotting, that confirms Lupus anticoagulant.

Laboratories have employed many different ways to describe each variation, e.g., different measures of the incubation time with the pooled plasma, different sources of excess phospholipid (e.g., platelets, hexagonal phospholipid), different ways to assess the difference between the baseline and excess phospholipid result, and they might run the set of three measures on as many as four different clotting tests. LOINC dutifully created terms for each of these variations as laboratories requested them. But, this yielded an often bewildering array of choices for mapper.

To counter this problem, LOINC created two panels that represent the strongest consensus on how to report lupus anticoagulant screening. One panel includes the three different measures using two different anticoagulation tests (aPTT and dRVVT). The other adds PT to yield a panel of three tests each measured three different ways. These two panels are, respectively:

     [LOINC: 75881-3] Lupus anticoagulant aPTT, dRVVT and PT screening panel W Reflex
     [LOINC: 75515-7] Lupus anticoagulant aPTT and dRVVT screening panel W Reflex

We only include the children of the larger panel [LOINC: 75881-3] below, because the smaller panel [LOINC: 75515-7] is a subset of it. The rank values for these newly-added tests are not based on empirical data from the original sources, so we use 3000 as a temporary placeholder.

The panel descriptions for [LOINC: 75881-3] and [LOINC: 75515-7] contain information about how these panels were derived and some internal alternatives to accommodate minor variations in reporting styles. You should try to use only the tests in these panels to map your LAC tests, and encourage your laboratories to report in the confines of this conceptualization in order to make the delivered test results more interoperable.",,,,,,,,,,,,,,,,,
,75881-3,"Lupus anticoagulant aPTT, dRVVT and PT screening panel W Reflex ",,,,,,,,,,,,,,,
,75515-7,Lupus anticoagulant aPTT and dRVVT screening panel W Reflex ,,,,,,,,,,,,,,,
,34571-0,aPTT.lupus sensitive (LA screen),COAG,Coagulation-Lupus Anti Coagulant,3000,s,s,,,,,,,,PPP,,
,48022-8,aPTT.lupus sensitive actual/?normal (normalized LA screen),COAG,Coagulation-Lupus Anti Coagulant,3000,,,,,,,,,,PPP,,
,75506-6,aPTT.lupus sensitive W excess phospholipid (LA confirm),COAG,Coagulation-Lupus Anti Coagulant,3000,s,s,,,,,,,,PPP,,
,75508-2,aPTT.lupus sensitive W excess phospholipid actual/?Normal (normalized LA confirm),COAG,Coagulation-Lupus Anti Coagulant,3000,%,%,,,,,,,,PPP,,
,75507-4,aPTT.lupus sensitive W excess phospholipid percent correction,COAG,Coagulation-Lupus Anti Coagulant,3000,%,%,,,,,,,,PPP,,
,75510-8,aPTT.lupus sensitive with 1:1 PNP (LA mix),COAG,Coagulation-Lupus Anti Coagulant,3000,s,s,,,,,,,,PPP,,
,75509-0,aPTT.lupus sensitive with 1:1 PNP actual/?Normal (normalized LA mix),COAG,Coagulation-Lupus Anti Coagulant,3000,%,%,,,,,,,,PPP,,
,75884-7,aPTT.lupus sensitive/?aPTT.lupus sensitive W excess phospholipid (screen to confirm ratio),COAG,Coagulation-Lupus Anti Coagulant,3000,{Ratio},{Ratio},,,,,,,,PPP,,
,15359-3,dRVVT actual/?normal (normalized LA screen),COAG,Coagulation-Lupus Anti Coagulant,1167,%,%,,Coagulation dilute Russell viper venom induced actual/Normal,RelTime,Pt,PPP,Qn,Coag,PPP,Coag.LAC,
,57838-5,dRVVT W excess phospholipid (LA confirm),COAG,Coagulation-Lupus Anti Coagulant,3000,s,s,,,,,,,,PPP,,
,68916-6,dRVVT W excess phospholipid actual/?normal (normalized LA confirm),COAG,Coagulation-Lupus Anti Coagulant,3000,%,%,,,,,,,,PPP,,
,6303-2,dRVVT LA screen,COAG,Coagulation-Lupus Anti Coagulant,759,s,s,,,,,,,,PPP,,
,75513-2,dRVVT with 1:1 PNP (LA mix),COAG,Coagulation-Lupus Anti Coagulant,1929,s,s,,,,,,,,PPP,,
,75512-4,dRVVT with 1:1 PNP actual/?normal (normalized LA mix),COAG,Coagulation-Lupus Anti Coagulant,3000,%,%,,,,,,,,PPP,,
,50410-0,dRVVT/?dRVVT W excess phospholipid (screen to confirm ratio),COAG,Coagulation-Lupus Anti Coagulant,3000,,,,,,,,,,PPP,,
,75882-1,Lupus anticoagulant three screening tests W Reflex [interpretation],COAG,Coagulation-Lupus Anti Coagulant,647,,,,,,,,,,PPP,,
,5902-2,Prothrombin time (PT),COAG,Coagulation-Lupus Anti Coagulant,47,s,s,,,,,,,,PPP,,
,5894-1,Prothrombin time (PT) actual/?Normal,COAG,Coagulation-Lupus Anti Coagulant,3000,%,%,,,,,,,,PPP,,
,5959-2,Prothrombin time (PT) factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of normal plasma,COAG,Coagulation-Lupus Anti Coagulant,1937,s,s,Addition of factors (usually as pooled plasma) eliminates possibility that the abnormality due to a factor deficiency ,Coagulation tissue factor induced.factor substitution^immediately after addition of normal plasma,Time,Pt,PPP,Qn,Coag,PPP,Coag.LAC,
,6683-7,Reptilase time,COAG,Coagulation-Lupus Anti Coagulant,3000,s,s,,,,,,,,PPP,,
,68326-8,Reptilase time actual/?Normal,COAG,Coagulation-Lupus Anti Coagulant,3000,%,%,,,,,,,,PPP,,
,75511-6,dRVVT W excess phospholipid percent correction,COAG,Coagulation-Lupus Anti Coagulant,3000,%,%,,,,,,,,PPP,,
,3243-3,Thrombin time,COAG,Coagulation-Lupus Anti Coagulant,705,s,s,,,,,,,,PPP,,
,68325-0,Thrombin time actual/?Normal,COAG,Coagulation-Lupus Anti Coagulant,3000,%,%,,,,,,,,PPP,,
,Older Terms for Lupus Anticoagulant from original Top 2000,,,,,,,,,,,,,,,,
,15191-0,Lupus anticoagulant neutralization dilute phospholipid [Presence] in Platelet poor plasma,COAG,Coagulation-Lupus Anti Coagulant,1189,,,,Lupus anticoagulant neutralization.dilute phospholipid,ACnc,Pt,PPP,Ord,,PPP,Coag.LAC,
,3284-7,Lupus anticoagulant neutralization platelet [Time] in Platelet poor plasma by Coagulation assay,COAG,Coagulation-Lupus Anti Coagulant,811,s,s,"When the addition of excess phospholipid (provided by addition of platelets) corrects clotting, it confirms LAC.",Lupus anticoagulant neutralization.platelet,Time,Pt,PPP,Qn,Coag,PPP,Coag.LAC,
,3282-1,aPTT W excess hexagonal phase phospholipid in Platelet poor plasma by Coagulation assay,,Coagulation-Lupus Anti Coagulant,1427,s,s,,,,,,,,PPP,,
,43734-3,aPTT in Platelet poor plasma by Coagulation 1:1 saline,,Coagulation-Lupus Anti Coagulant,1928,s,s,,,,,,,,PPP,,
,5946-9,aPTT.factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of normal plasma,,Coagulation-Lupus Anti Coagulant,1496,s,s,,,,,,,,PPP,,
,33673-5,Thrombin time.factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of protamine sulfate,COAG,Coagulation-Lupus Anti Coagulant,1069,s,s,,Coagulation thrombin induced.factor substitution^immediately after addition of protamine sulfate,Time,Pt,PPP,Qn,Coag,PPP,Coag.LAC,
,Lupus Antibodies,,,,,,,,,,,,,,,,
,5076-5,Cardiolipin IgA Ab [Units/volume] in Serum by Immunoassay,COAG,Coagulation-Lupus Anti Coagulant,887,[APL'U]/mL,APL'U/mL,,Cardiolipin Ab.IgA,ACnc,Pt,Ser,Qn,EIA,Ser,Cardiolipin Ab,
,20424-8,Cardiolipin IgG Ab [interpretation] in Serum,COAG,Coagulation-Lupus Anti Coagulant,1590,,,,Cardiolipin Ab.IgG,Imp,Pt,Ser,Nom,,Ser,Cardiolipin Ab,
,3181-5,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay,COAG,Coagulation-Lupus Anti Coagulant,504,[GPL'U]/mL,GPL'U/mL,,Cardiolipin Ab.IgG,ACnc,Pt,Ser,Qn,EIA,Ser,Cardiolipin Ab,
,20425-5,Cardiolipin IgM Ab [interpretation] in Serum,COAG,Coagulation-Lupus Anti Coagulant,1588,,,,Cardiolipin Ab.IgM,Imp,Pt,Ser,Nom,,Ser,Cardiolipin Ab,
,3182-3,Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay,COAG,Coagulation-Lupus Anti Coagulant,505,[MPL'U]/mL,MPL'U/mL,,Cardiolipin Ab.IgM,ACnc,Pt,Ser,Qn,EIA,Ser,Cardiolipin Ab,
,32031-7,Phosphatidylserine IgA Ab [Units/volume] in Serum by Immunoassay,COAG,Coagulation-Lupus Anti Coagulant,1428,[APL'U]/mL,APL'U/mL,,Phosphatidylserine Ab.IgA,ACnc,Pt,Ser,Qn,EIA,Ser,Phosphatidylserine,
,9326-0,Phosphatidylserine IgG Ab [Presence] in Serum by Immunoassay,COAG,Coagulation-Lupus Anti Coagulant,1881,,,,Phosphatidylserine Ab.IgG,ACnc,Pt,Ser,Ord,EIA,Ser,Phosphatidylserine,
,32032-5,Phosphatidylserine IgG Ab [Units/volume] in Serum by Immunoassay,COAG,Coagulation-Lupus Anti Coagulant,1089,{APS'U},APS'U,,Phosphatidylserine Ab.IgG,ACnc,Pt,Ser,Qn,EIA,Ser,Phosphatidylserine,
,9327-8,Phosphatidylserine IgM Ab [Presence] in Serum by Immunoassay,COAG,Coagulation-Lupus Anti Coagulant,848,,,,Phosphatidylserine Ab.IgM,ACnc,Pt,Ser,Ord,EIA,Ser,Phosphatidylserine,
,14246-3,Phosphatidylserine IgM Ab [Units/volume] in Serum,COAG,Coagulation-Lupus Anti Coagulant,1895,{MPS'U},MPS'U,,Phosphatidylserine Ab.IgM,ACnc,Pt,Ser,Qn,,Ser,Phosphatidylserine,
,32033-3,Phosphatidylserine IgM Ab [Units/volume] in Serum by Immunoassay,COAG,Coagulation-Lupus Anti Coagulant,2008,{MPS'U},MPS'U,,Phosphatidylserine Ab.IgM,ACnc,Pt,Ser,Qn,EIA,Ser,Phosphatidylserine,
Cytology,,,,,,,,,,,,,,,,,
,8665-2,Date last menstrual period,H&P.HX,Cytology,885,{date},date,,Date last menstrual period,TmStp,Pt,^Patient,Qn,,^Patient,Evy Pap,
,10524-7,Microscopic observation [Identifier] in Cervix by Cyto stain,CYTO,Cytology,484,,,,Microscopic observation,Prid,Pt,Cvx,Nom,Cyto stain,Cvx,Cvx Pap,
,18500-9,Microscopic observation [Identifier] in Cervix by Cyto stain.thin prep,CYTO,Cytology,1048,,,,Microscopic observation,Prid,Pt,Cvx,Nom,Cyto stain.thin prep,Cvx,Cvx Pap,
,19767-3,Cytologist who read Cyto stain of Cervical or vaginal smear or scraping,CYTO,Cytology,109,,,,Cytologist,ID,Pt,Cvx/Vag,Nom,Cyto stain,Cvx/Vag,Cvx Pap,
,47528-5,Cytology report of Cervical or vaginal smear or scraping Cyto stain,CYTO,Cytology,798,,,,Cytology report,Find,Pt,Cvx/Vag,Doc,Cyto stain,Cvx/Vag,Cvx Pap,
,47527-7,Cytology report of Cervical or vaginal smear or scraping Cyto stain.thin prep,CYTO,Cytology,85,,,,Cytology report,Find,Pt,Cvx/Vag,Doc,Cyto stain.thin prep,Cvx/Vag,Cvx Pap,
,19774-9,Cytology study comment Cervical or vaginal smear or scraping Cyto stain,CYTO,Cytology,945,,,,Cytology study comment,Imp,Pt,Cvx/Vag,Nar,Cyto stain,Cvx/Vag,Cvx Pap,
,19769-9,Pathologist who read Cyto stain of Cervical or vaginal smear or scraping,CYTO,Cytology,115,,,,Pathologist,ID,Pt,Cvx/Vag,Nom,Cyto stain,Cvx/Vag,Cvx Pap,
,19773-1,Recommended follow-up [Identifier] in Cervical or vaginal smear or scraping by Cyto stain,CYTO,Cytology,114,,,,Recommended follow-up,Prid,Pt,Cvx/Vag,Nom,Cyto stain,Cvx/Vag,Cvx Pap,
,19768-1,Reviewing cytologist who read Cyto stain of Cervical or vaginal smear or scraping,CYTO,Cytology,1656,,,,Reviewing cytologist,ID,Pt,Cvx/Vag,Nom,Cyto stain,Cvx/Vag,Cvx Pap,
,19763-2,Specimen source [Identifier] in Cervical or vaginal smear or scraping by Cyto stain,CYTO,Cytology,110,,,,Specimen source,Prid,Pt,Cvx/Vag,Nom,Cyto stain,Cvx/Vag,Cvx Pap,
,19764-0,Statement of adequacy [interpretation] of Cervical or vaginal smear or scraping by Cyto stain,CYTO,Cytology,108,,,,Statement of adequacy,Imp,Pt,Cvx/Vag,Nom,Cyto stain,Cvx/Vag,Cvx Pap,
,49050-8,Microscopic observation [Identifier] in Endocervical brush by Cyto stain,CYTO,Cytology,750,,,,Microscopic observation,Prid,Pt,Endocervical brush,Nom,Cyto stain,Endocervical brush,Cvx Pap,
,10526-2,Microscopic observation [Identifier] in Sputum by Cyto stain,CYTO,Cytology,1935,,,,Microscopic observation,Prid,Pt,Sputum,Nom,Cyto stain,Sputum,,
,33718-8,Cytology report of Tissue fine needle aspirate Cyto stain,CYTO,Cytology,943,,,,Cytology report,Find,Pt,Tiss.FNA,Doc,Cyto stain,Tiss.FNA,,
,27045-4,Microscopic exam [interpretation] of Urine by Cytology,CYTO,Cytology,163,,,,Microscopic exam,Imp,Pt,Urine,Nom,Cytology,Urine,,
,11070-0,Microscopic observation [Identifier] in Urine by Cyto stain,CYTO,Cytology,1251,,,,Microscopic observation,Prid,Pt,Urine,Nom,Cyto stain,Urine,,
,10525-4,Microscopic observation [Identifier] in Unspecified specimen by Cyto stain,CYTO,Cytology,1498,,,,Microscopic observation,Prid,Pt,XXX,Nom,Cyto stain,XXX,,
,33716-2,Non-gynecological cytology method study,ATTACH.CLINRPT,Cytology,773,,,,Study report,Find,Pt,XXX,Doc,Cytology.non-gyn,XXX,,
Drug/Tox,,,,,,,,,,,,,,,,,
"Drug/Tox is a very large class, with more than 7,500 distinct codes. This class includes medications whose levels are monitored, heavy metals, drugs of abuse, synthetic cannabinoids and hazardous industrial chemicals. Routine laboratories might want to exclude Tox terms when they are mapping their common chemistries. (Tip: add �-tox� to the search string). For most abusable and/or illicit drugs/substances, LOINC provides distinct codes for testing done on a variety of specimens, such as urine, serum, hair, saliva, meconium, and amniotic fluid.

Urine, serum, and meconium are the only specimens for drug testing you will see in the Top 2000+. The rest can be found in the full LOINC database. For urine and serum testing, LOINC usually provides different codes for screening and confirming the presence of a given substance. Some substances are easier to find in the urine than in serum because the kidney concentrates them. For some substances, the testing targets a metabolic breakdown product that persists longer in the body than the original substance. Typically the screening is done as a qualitative test and the result is reported as presence or absence (negative/ positive) based on a cut-off level. The cut-off is sometimes included in the value, e.g.  �neg < 50 ug/ml� and other times reported in the reference range.

Be aware of the distinction between screening tests and confirmatory tests. Names for screening tests usually contain the word �screen� or an equivalent abbreviation, for example �Opiates serum scr.�  Most commonly, the screening test is an immune assay and the confirm test is a sophisticated chromatographic or mass spectrometry test. However, LOINC distinguishes toxicology tests for drugs and abusable substances via screen and confirm rather than by specific detection technologies because that is what the industry does. A positive screening test will be followed by a confirmatory test done by a different method, usually one that is more specific than the screening test. Negative confirmatory test results always trump positive screening tests, so when confirmatory testing is done, the laboratory usually does not report the results of a positive screening test. Confirmatory tests may be reported as quantitative or qualitative, and LOINC has different codes for each. (Home test kits are also available.)  Some LOINC test names set the detection cut off in the name.",,,,,,,,,,,,,,,,,
"Therapeutic drug monitoring (TDM) tests are also included in the LOINC class �DRUG/TOX"". These TDM tests are all quantitative tests done mostly on serum/plasma. For TDM testing for aminoglycosides and a few other antibiotics, antiepileptics and immunosuppressant drugs, LOINC includes codes for peak (post-dose) and trough (pre-dose) levels as well as a generic code that makes no statement about the timing relative to the dose. Some laboratories call this latter case �random.� Be sure to distinguish these cases when you are mapping.  For example:

     Mass Concentration
     [LOINC: 4090-7] Vancomycin [Mass/volume] in Serum or Plasma --peak
     [LOINC: 4092-3] Vancomycin [Mass/volume] in Serum or Plasma --trough
     [LOINC: 20578-1] Vancomycin [Mass/volume] in Serum or Plasma  (Use for random levels)

     Substance Concentration
     [LOINC: 39796-8] Vancomycin [Moles/volume] in Serum or Plasma �peak
     [LOINC: 39797-6] Vancomycin [Moles/volume] in Serum or Plasma --trough
     [LOINC: 31012-8] Vancomycin [Moles/volume] in Serum or Plasma  (Use for random levels)",,,,,,,,,,,,,,,,,
,5583-0,Arsenic [Mass/volume] in Blood,DRUG/TOX,Drug/Tox,1779,ug/dL,ug/dL,,Arsenic,MCnc,Pt,Bld,Qn,,Bld,,
,3520-4,Cyclosporine [Mass/volume] in Blood,DRUG/TOX,Drug/Tox,474,ng/mL,ng/mL,,Cyclosporine,MCnc,Pt,Bld,Qn,,Bld,,
,5640-8,Ethanol [Mass/volume] in Blood,DRUG/TOX,Drug/Tox,597,mg/dL,mg/dL,,Ethanol,MCnc,Pt,Bld,Qn,,Bld,,
,5639-0,Ethanol [Presence] in Blood,DRUG/TOX,Drug/Tox,826,,,,Ethanol,ACnc,Pt,Bld,Ord,,Bld,Ethanol,
,5671-3,Lead [Mass/volume] in Blood,DRUG/TOX,Drug/Tox,266,ug/dL,ug/dL,Heavy metals are also done in RBC/vol,Lead,MCnc,Pt,Bld,Qn,,Bld,,
,5685-3,Mercury [Mass/volume] in Blood,DRUG/TOX,Drug/Tox,1314,ng/mL,ng/mL,Heavy metals are also done in RBC/vol,Mercury,MCnc,Pt,Bld,Qn,,Bld,,
,29247-4,Sirolimus [Mass/volume] in Blood,DRUG/TOX,Drug/Tox,485,ng/mL,ng/mL,Bld is the preferred specimen,Sirolimus,MCnc,Pt,Bld,Qn,,Bld,,
,11253-2,Tacrolimus [Mass/volume] in Blood,DRUG/TOX,Drug/Tox,216,ng/mL,ng/mL,Bld is the preferred specimen,Tacrolimus,MCnc,Pt,Bld,Qn,,Bld,,
,8144-8,Amphetamines [Presence] in Meconium,DRUG/TOX,Drug/Tox,1454,,,,Amphetamines,ACnc,Pt,Meconium,Ord,,Meconium,,
,8146-3,Amphetamines [Presence] in Meconium by Screen method,DRUG/TOX,Drug/Tox,1116,,,,Amphetamines,ACnc,Pt,Meconium,Ord,Screen,Meconium,,
,8187-7,Benzoylecgonine [Presence] in Meconium,DRUG/TOX,Drug/Tox,1074,,,,Benzoylecgonine,ACnc,Pt,Meconium,Ord,,Meconium,,
,31080-5,Cannabinoids [Presence] in Meconium by Screen method,DRUG/TOX,Drug/Tox,1434,,,,Cannabinoids,ACnc,Pt,Meconium,Ord,Screen,Meconium,,
,40527-4,Cocaine [Presence] in Meconium,DRUG/TOX,Drug/Tox,1448,,,,Cocaine,ACnc,Pt,Meconium,Ord,,Meconium,,
,8214-9,Opiates [Presence] in Meconium,DRUG/TOX,Drug/Tox,1417,,,,Opiates,ACnc,Pt,Meconium,Ord,,Meconium,,
,8216-4,Opiates [Presence] in Meconium by Screen method,DRUG/TOX,Drug/Tox,1125,,,,Opiates,ACnc,Pt,Meconium,Ord,Screen,Meconium,,
,8234-7,Phencyclidine [Presence] in Meconium by Screen method,DRUG/TOX,Drug/Tox,930,,,,Phencyclidine,ACnc,Pt,Meconium,Ord,Screen,Meconium,CAN-THC,
,8169-5,Tetrahydrocannabinol [Presence] in Meconium by Screen method,DRUG/TOX,Drug/Tox,1122,,,"A marijuana metabolite, also called THC.",Tetrahydrocannabinol,ACnc,Pt,Meconium,Ord,Screen,Meconium,CAN-THC,
,31019-3,10-Hydroxycarbazepine [Mass/volume] in Serum or Plasma,DRUG/TOX,Drug/Tox,1473,ug/mL,ug/mL,,10-Hydroxycarbazepine,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,,
,3298-7,Acetaminophen [Mass/volume] in Serum or Plasma,DRUG/TOX,Drug/Tox,402,ug/mL,ug/mL,,Acetaminophen,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,Acetamen,
,35595-8,Acetaminophen [Mass/volume] in Serum or Plasma by Screen method,DRUG/TOX,Drug/Tox,1819,ug/mL,ug/mL,,Acetaminophen,MCnc,Pt,Ser/Plas,Qn,Screen,Ser/Plas,Acetamen,
,3297-9,Acetaminophen [Presence] in Serum or Plasma,DRUG/TOX,Drug/Tox,829,,,,Acetaminophen,ACnc,Pt,Ser/Plas,Ord,,Ser/Plas,Acetamen,
,5568-1,Acetone [Mass/volume] in Serum or Plasma,DRUG/TOX,Drug/Tox,1019,mg/dL,mg/dL,,Acetone,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,,
,20469-3,Acetone [Presence] in Serum or Plasma by Screen method,DRUG/TOX,Drug/Tox,1801,,,,Acetone,ACnc,Pt,Ser/Plas,Ord,Screen,Ser/Plas,,
,49578-8,Aminocaproate cutoff [Mass/volume] in Serum or Plasma,DRUG/TOX,Drug/Tox,1806,ug/mL,ug/mL,Used when laboratories report the cut off as a separate observation,Aminocaproate cutoff,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,,
,8149-7,Amphetamines [Presence] in Serum or Plasma by Screen method,DRUG/TOX,Drug/Tox,926,,,,Amphetamines,ACnc,Pt,Ser/Plas,Ord,Screen,Ser/Plas,,
,3376-1,"Barbiturates [Presence] in Serum, Plasma or Blood",DRUG/TOX,Drug/Tox,520,,,,Barbiturates,ACnc,Pt,Ser/Plas/Bld,Ord,,Ser/Plas,,
,3389-4,Benzodiazepines [Presence] in Serum or Plasma,DRUG/TOX,Drug/Tox,536,,,,Benzodiazepines,ACnc,Pt,Ser/Plas,Ord,,Ser/Plas,,
,3422-3,Caffeine [Mass/volume] in Serum or Plasma,DRUG/TOX,Drug/Tox,1493,ug/mL,ug/mL,,Caffeine,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,,
,3432-2,Carbamazepine [Mass/volume] in Serum or Plasma,DRUG/TOX,Drug/Tox,671,ug/mL,ug/mL,,Carbamazepine,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,,
,35603-0,Clonazepam [Mass/volume] in Serum or Plasma by Screen method,DRUG/TOX,Drug/Tox,1699,ug/mL,ug/mL,,Clonazepam,MCnc,Pt,Ser/Plas,Qn,Screen,Ser/Plas,,
,8191-9,Cocaine [Presence] in Serum or Plasma by Screen method,DRUG/TOX,Drug/Tox,924,,,NOTE: Cocaine is also detected through its metabolite benzoylecgomine.,Cocaine,ACnc,Pt,Ser/Plas,Ord,Screen,Ser/Plas,,
,5631-7,Copper [Mass/volume] in Serum or Plasma,DRUG/TOX,Drug/Tox,1184,ug/dL,ug/dL,,Copper,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,,
,10535-3,Digoxin [Mass/volume] in Serum or Plasma,DRUG/TOX,Drug/Tox,357,ng/mL,ng/mL,,Digoxin,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,,
,5643-2,Ethanol [Mass/volume] in Serum or Plasma,DRUG/TOX,Drug/Tox,365,mg/dL,mg/dL,,Ethanol,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,Ethanol,
,5646-5,Ethylene glycol [Mass/volume] in Serum or Plasma,DRUG/TOX,Drug/Tox,1610,ug/mL,ug/mL,,Ethylene glycol,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,,
,35668-3,Gentamicin [Mass/volume] in Serum or Plasma,DRUG/TOX,Drug/Tox,1092,mg/L,mg/L,Use this code for random Gentamicin tests (it is equivalent).,Gentamicin,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,Gentamicin,
,3663-2,Gentamicin [Mass/volume] in Serum or Plasma --peak,DRUG/TOX,Drug/Tox,965,mg/L,mg/L,,Gentamicin^peak,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,Gentamicin,
